Month,Mean,Theta,Sigma,Nu
1,0.3048,0.06509962792534273,0.8718924332429594,4.520301706481564
2,0.22352,0.04018375079693222,0.9869882376953206,8.243035489425205
3,1.79832,0.9192939616513095,4.728991742684718,1.7711740349742306
4,0.6807199999999999,0.12109776702187704,2.961600088223878,8.207835960969165
5,25.064719999999998,7.866730347375099,64.6317358221113,2.794729703346239
6,530.20976,184.78140735482123,223.96329256005228,0.1
7,1024.49376,-237.63919847857014,373.2610826585068,0.1083747006093474
8,542.19856,447.68059687290753,216.9591218856633,0.1
9,403.38375,245.9107938162082,207.13569698890453,0.3177718402378121
10,67.35233333333333,151.994634276784,47.11304872320996,0.1
11,9.270999999999999,3.914237739318388,19.986625834128834,1.758506952749028
12,9.228666666666667,3.3305530615210626,24.0469890929493,2.4629029811408887
